Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : path, 		Predicted : path, 		Log of likelihood : -54.65
Expected : path, 		Predicted : path, 		Log of likelihood : -56.26
Expected : window, 		Predicted : path, 		Log of likelihood : -67.16
Expected : window, 		Predicted : window, 		Log of likelihood : -57.99
Expected : path, 		Predicted : window, 		Log of likelihood : -63.55
Expected : window, 		Predicted : window, 		Log of likelihood : -66.87
Expected : path, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -55.49
Expected : window, 		Predicted : window, 		Log of likelihood : -58.98
Expected : window, 		Predicted : window, 		Log of likelihood : -59.29
Expected : path, 		Predicted : path, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -69.53
Expected : path, 		Predicted : path, 		Log of likelihood : -54.74
Expected : window, 		Predicted : path, 		Log of likelihood : -55.45
Expected : window, 		Predicted : window, 		Log of likelihood : -68.97
Expected : window, 		Predicted : window, 		Log of likelihood : -59.63
Expected : path, 		Predicted : path, 		Log of likelihood : -53.13
Expected : path, 		Predicted : path, 		Log of likelihood : -55.37
Expected : path, 		Predicted : path, 		Log of likelihood : -57.79
Expected : window, 		Predicted : window, 		Log of likelihood : -58.21
Expected : window, 		Predicted : window, 		Log of likelihood : -65.83
Expected : path, 		Predicted : path, 		Log of likelihood : -56.26
Expected : path, 		Predicted : path, 		Log of likelihood : -56.22
Expected : path, 		Predicted : window, 		Log of likelihood : -95.96
Expected : path, 		Predicted : path, 		Log of likelihood : -65.57
Expected : path, 		Predicted : path, 		Log of likelihood : -52.88
Expected : path, 		Predicted : path, 		Log of likelihood : -55.43
Expected : path, 		Predicted : path, 		Log of likelihood : -59.37
Expected : window, 		Predicted : window, 		Log of likelihood : -68.78
Expected : window, 		Predicted : window, 		Log of likelihood : -58.78
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : window, 		Predicted : path, 		Log of likelihood : -56.53
Expected : window, 		Predicted : window, 		Log of likelihood : -125.76
Expected : window, 		Predicted : window, 		Log of likelihood : -58.58
Expected : window, 		Predicted : window, 		Log of likelihood : -58.77
Expected : window, 		Predicted : window, 		Log of likelihood : -58.18
Expected : path, 		Predicted : path, 		Log of likelihood : -55.99
Expected : window, 		Predicted : window, 		Log of likelihood : -58.25
Expected : path, 		Predicted : path, 		Log of likelihood : -55.21
Expected : path, 		Predicted : path, 		Log of likelihood : -55.86
Expected : window, 		Predicted : window, 		Log of likelihood : -69.83
Expected : path, 		Predicted : path, 		Log of likelihood : -58.76
Expected : window, 		Predicted : window, 		Log of likelihood : -69.67
Expected : window, 		Predicted : window, 		Log of likelihood : -60.22
Expected : path, 		Predicted : path, 		Log of likelihood : -56.08
Expected : window, 		Predicted : window, 		Log of likelihood : -58.90
Expected : window, 		Predicted : window, 		Log of likelihood : -59.81
Expected : path, 		Predicted : path, 		Log of likelihood : -56.65
Expected : window, 		Predicted : window, 		Log of likelihood : -57.92
Expected : window, 		Predicted : path, 		Log of likelihood : -58.03
Expected : window, 		Predicted : window, 		Log of likelihood : -68.36
Expected : window, 		Predicted : path, 		Log of likelihood : -61.86
Expected : path, 		Predicted : path, 		Log of likelihood : -59.35
Expected : path, 		Predicted : path, 		Log of likelihood : -58.58
Expected : path, 		Predicted : path, 		Log of likelihood : -61.24
Expected : path, 		Predicted : path, 		Log of likelihood : -59.27
Expected : path, 		Predicted : path, 		Log of likelihood : -68.21
Expected : window, 		Predicted : window, 		Log of likelihood : -58.71
Expected : window, 		Predicted : window, 		Log of likelihood : -66.91
Expected : window, 		Predicted : window, 		Log of likelihood : -58.84
Expected : path, 		Predicted : path, 		Log of likelihood : -57.20
Expected : window, 		Predicted : window, 		Log of likelihood : -58.60
Expected : window, 		Predicted : window, 		Log of likelihood : -59.06
Expected : window, 		Predicted : window, 		Log of likelihood : -103.59
Expected : path, 		Predicted : path, 		Log of likelihood : -53.68
Expected : window, 		Predicted : window, 		Log of likelihood : -59.87
Expected : path, 		Predicted : path, 		Log of likelihood : -57.56
Expected : path, 		Predicted : path, 		Log of likelihood : -59.12
Expected : path, 		Predicted : path, 		Log of likelihood : -56.22
Expected : path, 		Predicted : path, 		Log of likelihood : -60.79
Expected : window, 		Predicted : window, 		Log of likelihood : -62.33
Expected : window, 		Predicted : window, 		Log of likelihood : -58.06
Expected : window, 		Predicted : window, 		Log of likelihood : -59.46
Expected : window, 		Predicted : window, 		Log of likelihood : -58.78
Expected : path, 		Predicted : path, 		Log of likelihood : -57.85
Expected : path, 		Predicted : path, 		Log of likelihood : -61.11
Expected : path, 		Predicted : path, 		Log of likelihood : -54.67
Expected : path, 		Predicted : path, 		Log of likelihood : -58.34
Expected : path, 		Predicted : path, 		Log of likelihood : -53.42
Expected : path, 		Predicted : path, 		Log of likelihood : -56.03
Expected : path, 		Predicted : path, 		Log of likelihood : -60.75
Expected : window, 		Predicted : window, 		Log of likelihood : -60.26
Expected : path, 		Predicted : path, 		Log of likelihood : -54.43
Expected : window, 		Predicted : window, 		Log of likelihood : -60.90
Expected : window, 		Predicted : window, 		Log of likelihood : -57.84
Expected : window, 		Predicted : window, 		Log of likelihood : -60.21
Expected : window, 		Predicted : window, 		Log of likelihood : -68.83
Expected : path, 		Predicted : path, 		Log of likelihood : -68.82
Expected : path, 		Predicted : path, 		Log of likelihood : -57.90
Expected : path, 		Predicted : window, 		Log of likelihood : -64.84
Expected : window, 		Predicted : window, 		Log of likelihood : -58.46
Expected : window, 		Predicted : window, 		Log of likelihood : -58.88
Expected : window, 		Predicted : window, 		Log of likelihood : -58.21
Expected : path, 		Predicted : path, 		Log of likelihood : -59.39
Expected : path, 		Predicted : path, 		Log of likelihood : -56.00
Expected : window, 		Predicted : window, 		Log of likelihood : -68.99
Expected : path, 		Predicted : path, 		Log of likelihood : -53.94
Expected : path, 		Predicted : path, 		Log of likelihood : -68.21
Expected : window, 		Predicted : window, 		Log of likelihood : -59.51
Expected : path, 		Predicted : window, 		Log of likelihood : -64.36
Expected : path, 		Predicted : path, 		Log of likelihood : -54.65
Expected : path, 		Predicted : path, 		Log of likelihood : -56.26
Expected : window, 		Predicted : path, 		Log of likelihood : -67.16
Expected : window, 		Predicted : window, 		Log of likelihood : -57.99
Expected : path, 		Predicted : window, 		Log of likelihood : -63.55
Expected : window, 		Predicted : window, 		Log of likelihood : -66.87
Expected : path, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -55.49
Expected : window, 		Predicted : window, 		Log of likelihood : -58.98
Expected : window, 		Predicted : window, 		Log of likelihood : -59.29
Expected : path, 		Predicted : path, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -69.53
Expected : path, 		Predicted : path, 		Log of likelihood : -54.74
Expected : window, 		Predicted : path, 		Log of likelihood : -55.45
Expected : window, 		Predicted : window, 		Log of likelihood : -68.97
Expected : window, 		Predicted : window, 		Log of likelihood : -59.63
Expected : path, 		Predicted : path, 		Log of likelihood : -53.13
Expected : path, 		Predicted : path, 		Log of likelihood : -55.37
Expected : path, 		Predicted : path, 		Log of likelihood : -57.79
Expected : window, 		Predicted : window, 		Log of likelihood : -58.21
Expected : window, 		Predicted : window, 		Log of likelihood : -65.83
Expected : path, 		Predicted : path, 		Log of likelihood : -56.26
Expected : path, 		Predicted : path, 		Log of likelihood : -56.22
Expected : path, 		Predicted : window, 		Log of likelihood : -95.96
Expected : path, 		Predicted : path, 		Log of likelihood : -65.57
Expected : path, 		Predicted : path, 		Log of likelihood : -52.88
Expected : path, 		Predicted : path, 		Log of likelihood : -55.43
Expected : path, 		Predicted : path, 		Log of likelihood : -59.37
Expected : window, 		Predicted : window, 		Log of likelihood : -68.78
Expected : window, 		Predicted : window, 		Log of likelihood : -58.78
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : window, 		Predicted : path, 		Log of likelihood : -56.53
Expected : window, 		Predicted : window, 		Log of likelihood : -125.76
Expected : window, 		Predicted : window, 		Log of likelihood : -58.58
Expected : window, 		Predicted : window, 		Log of likelihood : -58.77
Expected : window, 		Predicted : window, 		Log of likelihood : -58.18


Era 4
Expected : window, 		Predicted : window, 		Log of likelihood : -60.97
Expected : window, 		Predicted : path, 		Log of likelihood : -56.14
Expected : path, 		Predicted : path, 		Log of likelihood : -55.57
Expected : path, 		Predicted : path, 		Log of likelihood : -61.34
Expected : path, 		Predicted : path, 		Log of likelihood : -65.53
Expected : window, 		Predicted : window, 		Log of likelihood : -58.40
Expected : path, 		Predicted : path, 		Log of likelihood : -56.88
Expected : window, 		Predicted : window, 		Log of likelihood : -58.04
Expected : path, 		Predicted : path, 		Log of likelihood : -57.73
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -58.54
Expected : window, 		Predicted : window, 		Log of likelihood : -59.01
Expected : path, 		Predicted : path, 		Log of likelihood : -57.96
Expected : window, 		Predicted : window, 		Log of likelihood : -60.92
Expected : window, 		Predicted : window, 		Log of likelihood : -60.07
Expected : path, 		Predicted : path, 		Log of likelihood : -57.30
Expected : path, 		Predicted : path, 		Log of likelihood : -56.26
Expected : path, 		Predicted : path, 		Log of likelihood : -66.68
Expected : window, 		Predicted : window, 		Log of likelihood : -58.22
Expected : window, 		Predicted : window, 		Log of likelihood : -70.12
Expected : window, 		Predicted : window, 		Log of likelihood : -60.05
Expected : path, 		Predicted : path, 		Log of likelihood : -54.41
Expected : path, 		Predicted : path, 		Log of likelihood : -56.25
Expected : window, 		Predicted : window, 		Log of likelihood : -93.75
Expected : window, 		Predicted : window, 		Log of likelihood : -57.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.83
Expected : path, 		Predicted : path, 		Log of likelihood : -57.01
Expected : window, 		Predicted : window, 		Log of likelihood : -57.51
Expected : window, 		Predicted : window, 		Log of likelihood : -59.71
Expected : window, 		Predicted : path, 		Log of likelihood : -60.00
Expected : path, 		Predicted : path, 		Log of likelihood : -55.71
Expected : window, 		Predicted : path, 		Log of likelihood : -59.02
Expected : path, 		Predicted : path, 		Log of likelihood : -53.06
Expected : path, 		Predicted : window, 		Log of likelihood : -68.17
Expected : path, 		Predicted : path, 		Log of likelihood : -55.84
Expected : path, 		Predicted : path, 		Log of likelihood : -58.06
Expected : window, 		Predicted : window, 		Log of likelihood : -58.10
Expected : path, 		Predicted : path, 		Log of likelihood : -59.01
Expected : window, 		Predicted : window, 		Log of likelihood : -59.14
Expected : path, 		Predicted : path, 		Log of likelihood : -55.48
Expected : path, 		Predicted : path, 		Log of likelihood : -59.69
Expected : window, 		Predicted : window, 		Log of likelihood : -59.13
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -59.56
Expected : window, 		Predicted : window, 		Log of likelihood : -60.50
Expected : path, 		Predicted : path, 		Log of likelihood : -56.18
Expected : path, 		Predicted : path, 		Log of likelihood : -56.78
Expected : path, 		Predicted : path, 		Log of likelihood : -54.65
Expected : path, 		Predicted : path, 		Log of likelihood : -60.40
Expected : window, 		Predicted : window, 		Log of likelihood : -57.83
Expected : window, 		Predicted : window, 		Log of likelihood : -59.72
Expected : window, 		Predicted : window, 		Log of likelihood : -60.09
Expected : window, 		Predicted : window, 		Log of likelihood : -59.26
Expected : path, 		Predicted : path, 		Log of likelihood : -59.95
Expected : path, 		Predicted : path, 		Log of likelihood : -60.61
Expected : window, 		Predicted : window, 		Log of likelihood : -81.10
Expected : path, 		Predicted : path, 		Log of likelihood : -56.01
Expected : window, 		Predicted : window, 		Log of likelihood : -58.46
Expected : window, 		Predicted : window, 		Log of likelihood : -58.85
Expected : path, 		Predicted : path, 		Log of likelihood : -57.79
Expected : path, 		Predicted : path, 		Log of likelihood : -84.50
